Pitcher,PitcherID,Batter,BatterID,hitside,game_id,ab_id,pitch_id,des,result,event,pitch_type,called,start_speed,end_speed,sz_top,sz_bot,sz_left,sz_right,sz_back,sz_front,xmove,zmove,break_length,xend,zend,yend,xstart,ystart,zstart,xvel,yvel,zvel,xacc,yacc,zacc
string,numeric,string,numeric,string,numeric,numeric,numeric,string,string,string,enum,enum,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
Clayton Kershaw,477132,Jayson Werth,150029,R,19440,1479380,5603605,Swinging Strike,Jayson Werth singles on a line drive to right fielder Andre Ethier.  ,Single,SL,S,84.5,77.6,3.64,1.68,-1,1,0,1,-4.59,3.13,7.9,-0.755,1.179,0,1.675,50,6.14,-4.454,-123.637,-6.418,-7.016,27.632,-27.325
Clayton Kershaw,477132,Jayson Werth,150029,R,19440,1479380,5603606,Foul,Jayson Werth singles on a line drive to right fielder Andre Ethier.  ,Single,SL,S,84.5,77.9,3.64,1.68,-1,1,0,1,-4.25,1.3,8.5,-0.587,1.466,0,1.708,50,6.117,-4.243,-123.827,-5.134,-6.528,27.211,-30.103
Clayton Kershaw,477132,Jayson Werth,150029,R,19440,1479380,5603607,"In play, no out",Jayson Werth singles on a line drive to right fielder Andre Ethier.  ,Single,FF,X,92.6,84,3.64,1.68,-1,1,0,1,-1.4,13.61,2.1,1.056,2.439,0,1.672,50,6.06,-1.154,-135.595,-8.281,-2.57,34.116,-7.163
Clayton Kershaw,477132,Adam LaRoche,425560,L,19440,1479381,5603608,Swinging Strike (Blocked),Adam LaRoche singles on a ground ball to right fielder Andre Ethier.   Jayson Werth to 2nd.  ,Single,SL,S,86.7,79.8,3.73,1.72,-1,1,0,1,-5.11,1.89,8,-0.271,0.821,0,1.556,50,6.085,-2.906,-126.929,-7.303,-8.238,28.752,-29.058
Clayton Kershaw,477132,Adam LaRoche,425560,L,19440,1479381,5603609,Ball In Dirt,Adam LaRoche singles on a ground ball to right fielder Andre Ethier.   Jayson Werth to 2nd.  ,Single,SL,B,87.4,81.1,3.73,1.72,-1,1,0,1,-3.85,5.14,6.6,0.222,-0.297,0,1.667,50,5.955,-2.382,-127.757,-11.058,-6.345,27.079,-23.637
Clayton Kershaw,477132,Adam LaRoche,425560,L,19440,1479381,5603610,Ball,Adam LaRoche singles on a ground ball to right fielder Andre Ethier.   Jayson Werth to 2nd.  ,Single,CU,B,73.8,67.4,3.59,1.71,-1,1,0,1,-4.98,-11.07,16,-0.19,1.497,0,1.382,50,6.367,-1.956,-108.171,0.373,-5.708,24.571,-44.788
Clayton Kershaw,477132,Adam LaRoche,425560,L,19440,1479381,5603611,"In play, no out",Adam LaRoche singles on a ground ball to right fielder Andre Ethier.   Jayson Werth to 2nd.  ,Single,FF,X,92.9,83.6,3.73,1.72,-1,1,0,1,-1.53,10.13,3.5,0.01,2.706,0,1.505,50,6.099,-3.446,-136.109,-6.453,-2.784,37.374,-13.61
Clayton Kershaw,477132,Scott Hairston,430668,R,19440,1479382,5603612,Foul,Scott Hairston strikes out on a foul tip.  ,Strikeout,FF,S,92.6,84,3.24,1.47,-1,1,0,1,-1.86,13.48,2.4,-0.14,1.682,0,1.577,50,5.943,-3.92,-135.419,-9.894,-3.388,34.406,-7.506
Clayton Kershaw,477132,Scott Hairston,430668,R,19440,1479382,5603613,Ball In Dirt,Scott Hairston strikes out on a foul tip.  ,Strikeout,CU,B,73.6,67.6,3.13,1.43,-1,1,0,1,-3.51,-11.19,16.2,0.344,0.105,0,1.337,50,6.34,-1.136,-107.924,-2.428,-4.001,24.49,-44.87
Clayton Kershaw,477132,Scott Hairston,430668,R,19440,1479382,5603614,Foul,Scott Hairston strikes out on a foul tip.  ,Strikeout,FF,S,91.6,83.7,3.24,1.47,-1,1,0,1,0.54,10.56,3.2,-0.813,2.97,0,1.382,50,6.085,-5.976,-134.157,-5.745,0.981,31.57,-13.039
Clayton Kershaw,477132,Scott Hairston,430668,R,19440,1479382,5603615,Foul Tip,Scott Hairston strikes out on a foul tip.  ,Strikeout,CU,S,74,68.4,3.24,1.47,-1,1,0,1,-3.75,-10.1,15.4,-0.221,1.361,0,1.216,50,6.502,-2.021,-108.551,-0.595,-4.388,22.56,-43.911
Clayton Kershaw,477132,Ian Desmond,435622,R,19440,1479383,5603616,Foul,"Ian Desmond strikes out swinging, catcher Drew Butera to first baseman Scott Van Slyke.  ",Strikeout,FF,S,92.3,84.7,3.4,1.51,-1,1,0,1,-1.55,10.21,3.4,-1.063,2.666,0,1.239,50,6.053,-5.591,-135.158,-6.515,-2.859,31.043,-13.322
Clayton Kershaw,477132,Ian Desmond,435622,R,19440,1479383,5603617,Swinging Strike (Blocked),"Ian Desmond strikes out swinging, catcher Drew Butera to first baseman Scott Van Slyke.  ",Strikeout,CU,S,73.9,68.2,3.29,1.51,-1,1,0,1,-0.79,-10.7,15.7,0.253,0.426,0,1.218,50,6.346,-1.826,-108.363,-2.016,-0.92,23.425,-44.504
Clayton Kershaw,477132,Ian Desmond,435622,R,19440,1479383,5603618,Swinging Strike (Blocked),"Ian Desmond strikes out swinging, catcher Drew Butera to first baseman Scott Van Slyke.  ",Strikeout,SL,S,87.2,79.9,3.4,1.51,-1,1,0,1,-3.71,0.75,8.4,-0.816,0.359,0,1.426,50,6.042,-4.401,-127.621,-8.019,-6.005,31.083,-30.888
Clayton Kershaw,477132,Danny Espinosa,457787,R,19440,1479389,5603636,"In play, no out",Danny Espinosa reaches on a fielding error by shortstop Hanley Ramirez.  ,Field Error,FF,X,92.4,84.5,3.68,1.72,-1,1,0,1,0.1,11.87,2.8,-0.632,2.013,0,1.416,50,6.046,-5.479,-135.129,-8.78,0.176,31.664,-10.335
Clayton Kershaw,477132,Jose Lobaton,446653,R,19440,1479390,5603637,Ball In Dirt,"Jose Lobaton grounds into a double play, shortstop Hanley Ramirez to second baseman Dee Gordon to first baseman Scott Van Slyke.   Danny Espinosa out at 2nd.  ",Grounded Into DP,FF,B,92.8,85.4,3.55,1.75,-1,1,0,1,1.54,11.34,3,-0.5,0.603,0,1.433,50,5.904,-5.697,-135.487,-12.085,2.847,30.498,-11.089
Clayton Kershaw,477132,Jose Lobaton,446653,R,19440,1479390,5603638,Ball In Dirt,"Jose Lobaton grounds into a double play, shortstop Hanley Ramirez to second baseman Dee Gordon to first baseman Scott Van Slyke.   Danny Espinosa out at 2nd.  ",Grounded Into DP,SL,B,86.8,80,3.44,1.64,-1,1,0,1,-2.3,4.33,6.9,0.587,-0.101,0,1.659,50,5.957,-1.932,-126.874,-10.079,-3.71,28.337,-25.112
Clayton Kershaw,477132,Jose Lobaton,446653,R,19440,1479390,5603639,Foul,"Jose Lobaton grounds into a double play, shortstop Hanley Ramirez to second baseman Dee Gordon to first baseman Scott Van Slyke.   Danny Espinosa out at 2nd.  ",Grounded Into DP,FF,S,92.3,83.9,3.4,1.57,-1,1,0,1,0.94,12.37,2.6,0.134,2.528,0,1.55,50,6.149,-4.077,-135.153,-7.798,1.705,33.528,-9.56
Clayton Kershaw,477132,Jose Lobaton,446653,R,19440,1479390,5603640,"In play, out(s)","Jose Lobaton grounds into a double play, shortstop Hanley Ramirez to second baseman Dee Gordon to first baseman Scott Van Slyke.   Danny Espinosa out at 2nd.  ",Grounded Into DP,FF,X,92.5,85.1,3.4,1.57,-1,1,0,1,1.67,12.74,2.5,-0.57,1.217,0,1.481,50,5.976,-6.043,-135.15,-11.073,3.075,30.119,-8.597
Clayton Kershaw,477132,Kevin Frandsen,435623,R,19440,1479391,5603641,"In play, no out",Kevin Frandsen singles on a line drive to left fielder Carl Crawford.  ,Single,FF,X,92.7,84.5,3.24,1.46,-1,1,0,1,-1.08,12.14,2.8,-0.54,1.57,0,1.575,50,5.993,-5.256,-135.475,-9.92,-1.981,33.125,-9.835
Clayton Kershaw,477132,Denard Span,452655,L,19440,1479392,5603642,Ball,Denard Span called out on strikes.  ,Strikeout,FF,B,92.5,84.7,3.34,1.54,-1,1,0,1,-1.32,12.26,2.8,-0.957,1.271,0,1.49,50,5.963,-6.05,-135.045,-10.661,-2.416,31.396,-9.63
Clayton Kershaw,477132,Denard Span,452655,L,19440,1479392,5603643,Called Strike,Denard Span called out on strikes.  ,Strikeout,SL,S,88.2,81.6,3.34,1.54,-1,1,0,1,-3.4,6.18,5.7,0.388,1.763,0,1.726,50,6.101,-2.287,-129.182,-6.816,-5.74,26.961,-21.658
Clayton Kershaw,477132,Denard Span,452655,L,19440,1479392,5603644,Swinging Strike,Denard Span called out on strikes.  ,Strikeout,SL,S,88.4,82,3.34,1.54,-1,1,0,1,-3.4,2.73,7.1,0.039,1.101,0,1.633,50,6.088,-2.942,-129.355,-7.356,-5.76,26.954,-27.479
Clayton Kershaw,477132,Denard Span,452655,L,19440,1479392,5603645,Ball In Dirt,Denard Span called out on strikes.  ,Strikeout,CU,B,75.7,69.6,3.33,1.54,-1,1,0,1,-2.5,-8.84,14.7,0.008,-0.13,0,1.116,50,6.215,-1.698,-110.976,-3.842,-3.026,25.265,-42.803
Clayton Kershaw,477132,Denard Span,452655,L,19440,1479392,5603646,Foul,Denard Span called out on strikes.  ,Strikeout,SL,S,86,79,3.34,1.54,-1,1,0,1,-2.93,1.96,7.8,-0.09,1.793,0,1.67,50,6.183,-3.414,-125.96,-5.007,-4.65,28.392,-28.983
Clayton Kershaw,477132,Denard Span,452655,L,19440,1479392,5603647,Called Strike,Denard Span called out on strikes.  ,Strikeout,FF,S,93.2,84.5,3.28,1.54,-1,1,0,1,0.27,11.51,2.9,-0.526,2.138,0,1.33,50,6.019,-5.052,-136.321,-8.342,0.5,34.903,-10.829
Clayton Kershaw,477132,Anthony Rendon,543685,R,19440,1479397,5603660,Called Strike,Anthony Rendon singles on a ground ball to left fielder Carl Crawford.  ,Single,FF,S,92,83,3.31,1.43,-1,1,0,1,1.33,12.18,2.8,-0.258,2.412,0,1.543,50,6.097,-5.193,-134.587,-7.744,2.386,35.486,-10.278
Clayton Kershaw,477132,Anthony Rendon,543685,R,19440,1479397,5603661,Foul,Anthony Rendon singles on a ground ball to left fielder Carl Crawford.  ,Single,CU,S,73.6,67.7,3.31,1.48,-1,1,0,1,-6.99,-11.31,16.3,-0.242,1.055,0,1.461,50,6.384,-1.682,-108.005,-0.531,-8.027,23.785,-45.075
Clayton Kershaw,477132,Anthony Rendon,543685,R,19440,1479397,5603662,"In play, no out",Anthony Rendon singles on a ground ball to left fielder Carl Crawford.  ,Single,FF,X,91.7,83.5,3.31,1.48,-1,1,0,1,1.38,12.1,2.7,-0.676,2.699,0,1.435,50,6.109,-6.035,-134.208,-7.029,2.481,32.522,-10.321
Clayton Kershaw,477132,Jayson Werth,150029,R,19440,1479398,5603663,"In play, no out",Jayson Werth singles on a ground ball to shortstop Hanley Ramirez.   Anthony Rendon to 2nd.  ,Single,FF,X,93.5,84.9,3.64,1.68,-1,1,0,1,-0.37,12.99,2.3,-0.345,1.657,0,1.295,50,6.022,-4.268,-136.613,-10.219,-0.686,34.41,-7.92
Clayton Kershaw,477132,Adam LaRoche,425560,L,19440,1479399,5603664,Ball In Dirt,Adam LaRoche pops out to third baseman Juan Uribe in foul territory.  ,Pop Out,SL,B,89.4,82,3.66,1.7,-1,1,0,1,-3.17,5.83,6,0.062,0.429,0,1.817,50,5.928,-3.451,-130.765,-9.806,-5.41,30.995,-22.148
Clayton Kershaw,477132,Adam LaRoche,425560,L,19440,1479399,5603665,"In play, out(s)",Adam LaRoche pops out to third baseman Juan Uribe in foul territory.  ,Pop Out,FF,X,93.4,84.3,3.73,1.72,-1,1,0,1,-0.22,13.07,2.4,0.058,1.634,0,1.603,50,5.882,-4.051,-136.621,-9.849,-0.408,36.806,-7.981
Clayton Kershaw,477132,Scott Hairston,430668,R,19440,1479400,5603666,Called Strike,Scott Hairston strikes out swinging.  ,Strikeout,FF,S,93.7,84.7,3.05,1.31,-1,1,0,1,2.29,11.42,3,-0.182,1.963,0,1.431,50,5.984,-5.119,-137.099,-8.763,4.256,36.486,-10.838
Clayton Kershaw,477132,Scott Hairston,430668,R,19440,1479400,5603667,Foul,Scott Hairston strikes out swinging.  ,Strikeout,FF,S,93.2,84.9,3.24,1.47,-1,1,0,1,1.45,10.94,3,-0.511,2.553,0,1.254,50,6.025,-5.232,-136.408,-7.112,2.696,33.381,-11.742
Clayton Kershaw,477132,Scott Hairston,430668,R,19440,1479400,5603668,Ball In Dirt,Scott Hairston strikes out swinging.  ,Strikeout,CU,B,75.6,69.8,3.16,1.47,-1,1,0,1,-3.4,-10.41,15.3,0.178,0.042,0,1.373,50,6.254,-1.636,-110.886,-3.119,-4.118,24.74,-44.717
Clayton Kershaw,477132,Scott Hairston,430668,R,19440,1479400,5603669,Swinging Strike,Scott Hairston strikes out swinging.  ,Strikeout,SL,S,86.4,78.6,3.24,1.47,-1,1,0,1,-2.9,3.09,7.5,-0.423,1.339,0,1.48,50,6.063,-3.779,-126.548,-6.187,-4.588,31.464,-27.209
Clayton Kershaw,477132,Ian Desmond,435622,R,19440,1479401,5603670,Ball,Ian Desmond strikes out swinging.  ,Strikeout,SL,B,86.8,79.1,3.4,1.63,-1,1,0,1,-3.9,0.85,8.3,0.31,1.632,0,1.647,50,6.171,-2.072,-127.207,-5.115,-6.243,31.515,-30.735
