Pitcher,PitcherID,Batter,BatterID,hitside,game_id,ab_id,pitch_id,des,result,pitch_type,called,start_speed,end_speed,sz_top,sz_bot,xmove,zmove,break_length,xend,zend,yend,xstart,ystart,zstart,xvel,yvel,zvel,xacc,yacc,zacc
string,numeric,string,numeric,string,numeric,numeric,numeric,string,string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
Felix Hernandez,433587,Albert Pujols,405395,R,18944,1441843,5459903,Swinging Strike,Albert Pujols pops out to catcher Mike Zunino in foul territory.  ,SI,S,90.3,83.4,3.42,1.7,-7.44,3.78,6.8,0.156,1.106,0,-1.709,50,5.905,7.371,-131.958,-7.605,-13.098,28.507,-25.448
Felix Hernandez,433587,Albert Pujols,405395,R,18944,1441843,5459904,"In play, out(s)",Albert Pujols pops out to catcher Mike Zunino in foul territory.  ,FF,X,93.5,85.9,3.42,1.7,-5.98,9.97,3.8,-0.276,2.259,0,-1.998,50,5.924,6.738,-136.814,-7.431,-11.3,31.075,-13.256
Felix Hernandez,433587,Josh Hamilton,285078,L,18944,1441863,5459958,"In play, no out",Josh Hamilton singles on a line drive to right fielder Michael Saunders.  ,SI,X,91.9,83.6,3.65,1.75,-7.9,6.18,5.8,-0.621,2.205,0,-1.949,50,5.901,6.201,-134.547,-5.781,-14.242,33.643,-20.948
Felix Hernandez,433587,Chris Iannetta,455104,R,18944,1441887,5460056,Swinging Strike,Chris Iannetta pops out to first baseman Justin Smoak in foul territory.  ,SI,S,93.7,85.7,3.34,1.54,-9.94,5.29,6.3,0.052,1.568,0,-1.912,50,5.864,8.755,-136.929,-7.454,-18.684,32.965,-22.15
Felix Hernandez,433587,Chris Iannetta,455104,R,18944,1441887,5460058,Ball,Chris Iannetta pops out to first baseman Justin Smoak in foul territory.  ,SI,B,93.1,85,3.34,1.54,-8.75,6.21,5.9,-1.398,2.093,0,-2.057,50,5.945,4.8,-136.319,-6.47,-16.254,33.473,-20.57
Felix Hernandez,433587,Chris Iannetta,455104,R,18944,1441887,5460060,"In play, out(s)",Chris Iannetta pops out to first baseman Justin Smoak in foul territory.  ,SI,X,93,84.2,3.34,1.54,-8.11,8.37,5,-0.849,3.022,0,-1.811,50,6.105,5.366,-136.212,-5.092,-14.939,35.501,-16.693
Felix Hernandez,433587,Chris Iannetta,455104,R,18944,1441887,5460057,Ball,Chris Iannetta pops out to first baseman Justin Smoak in foul territory.  ,FF,B,93.2,85.7,3.34,1.54,-3.59,6.78,4.7,1.046,1.554,0,-2.072,50,5.738,9.617,-136.184,-7.603,-6.71,31.234,-19.434
Felix Hernandez,433587,Chris Iannetta,455104,R,18944,1441887,5460059,Swinging Strike,Chris Iannetta pops out to first baseman Justin Smoak in foul territory.  ,SI,S,90.7,84,3.34,1.54,-7.65,4.1,6.7,1.021,0.25,0,-1.675,50,5.857,9.638,-132.308,-9.894,-13.558,28.196,-24.827
Felix Hernandez,433587,Kole Calhoun,594777,L,18944,1441899,5460108,Called Strike,Kole Calhoun strikes out swinging.  ,SI,S,89.4,82.9,3.17,1.53,-7.6,-0.4,8.3,-1.001,1.857,0,-1.848,50,5.87,4.751,-130.989,-4.052,-13.231,27.173,-32.79
Felix Hernandez,433587,Kole Calhoun,594777,L,18944,1441899,5460110,Swinging Strike,Kole Calhoun strikes out swinging.  ,SI,S,90.3,82.7,3.17,1.53,-7.93,1.17,7.9,-0.568,1.071,0,-1.675,50,5.846,5.54,-132.156,-6.598,-13.842,31.571,-30.059
Felix Hernandez,433587,Kole Calhoun,594777,L,18944,1441899,5460109,Called Strike,Kole Calhoun strikes out swinging.  ,CU,S,81.6,74.7,3.17,1.53,6.71,-6.84,12.3,-0.643,2.133,0,-1.989,50,6.146,1.116,-119.633,-0.469,9.53,27.417,-41.818
Felix Hernandez,433587,David Freese,501896,R,18944,1441903,5460126,Ball In Dirt,David Freese strikes out swinging.  ,FF,B,90.4,84,3.61,1.62,-5.48,3.58,6.7,-0.118,-0.51,0,-1.669,50,5.71,5.901,-131.988,-11.274,-9.684,27.782,-25.77
Felix Hernandez,433587,David Freese,501896,R,18944,1441903,5460128,Called Strike,David Freese strikes out swinging.  ,FF,S,93.3,85.5,3.61,1.62,-5.76,6.82,5,-0.921,2.294,0,-1.817,50,5.932,4.422,-136.608,-6.196,-10.823,31.894,-19.3
Felix Hernandez,433587,David Freese,501896,R,18944,1441903,5460130,Swinging Strike,David Freese strikes out swinging.  ,SI,S,90.6,83.3,3.61,1.62,-6.44,2.07,7.2,-0.064,1.486,0,-1.723,50,5.934,6.507,-132.572,-6.152,-11.369,30.468,-28.442
Felix Hernandez,433587,David Freese,501896,R,18944,1441903,5460125,Foul,David Freese strikes out swinging.  ,SI,S,92.7,84.8,3.61,1.62,-7.64,7.82,5.1,-1.22,2.41,0,-1.622,50,6.053,3.718,-135.694,-6.417,-14.121,32.18,-17.644
Felix Hernandez,433587,David Freese,501896,R,18944,1441903,5460127,Ball,David Freese strikes out swinging.  ,SI,B,90.5,83.9,3.61,1.62,-6.22,3.71,6.6,0.008,0.84,0,-1.733,50,5.906,6.665,-132.31,-8.362,-11.053,27.772,-25.517
Felix Hernandez,433587,David Freese,501896,R,18944,1441903,5460129,Ball In Dirt,David Freese strikes out swinging.  ,SI,B,90.9,84.1,3.61,1.62,-6.92,3.38,6.8,-0.69,0.664,0,-1.71,50,5.872,5.035,-132.994,-8.695,-12.374,29.049,-26.065
Felix Hernandez,433587,Raul Ibanez,116380,L,18944,1441915,5460176,Swinging Strike,Raul Ibanez strikes out swinging.  ,FF,S,91.1,83.7,3.45,1.68,-2.3,5.18,5.3,-0.38,3.744,0,-2.205,50,6.049,5.588,-133.506,-1.735,-4.142,29.804,-22.782
Felix Hernandez,433587,Raul Ibanez,116380,L,18944,1441915,5460173,Called Strike,Raul Ibanez strikes out swinging.  ,CU,S,79.4,72.8,3.45,1.68,7.08,-7.72,13.3,0.461,1.797,0,-2.237,50,6.117,4.055,-116.421,-0.502,9.483,26.755,-42.437
Felix Hernandez,433587,Raul Ibanez,116380,L,18944,1441915,5460174,Swinging Strike,Raul Ibanez strikes out swinging.  ,SI,S,88.8,82.2,3.45,1.68,-8.19,1.41,8,0.425,0.811,0,-1.786,50,5.893,8.384,-129.759,-7.208,-13.943,27.511,-29.706
Felix Hernandez,433587,Raul Ibanez,116380,L,18944,1441915,5460175,Foul,Raul Ibanez strikes out swinging.  ,SL,S,84,77.5,3.45,1.68,0.13,-2.08,9.6,1.083,1.937,0,-1.857,50,6.075,7.073,-122.91,-2.725,0.2,26.028,-35.257
